Active,Confirmed,Date,Deaths,Fatality Rate,Recovered,State Name,State,Land Area (mi2),Population,Population Density,Per Capita Income,Median Household Income
347510,354885,2020-07-15,7375,0.0208,0,California,CA,96922.44000000016,39076841.0,403.1764057941581,35049.47257253983,65231.0
130,131,2020-03-15,1,0.0076,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
2913,2982,2020-04-01,69,0.0231,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
7628,7956,2020-04-15,328,0.0412,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
14972,15793,2020-05-01,821,0.052000000000000005,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
20082,21232,2020-05-15,1150,0.0542,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
25105,26563,2020-06-01,1458,0.0549,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
27679,29284,2020-06-15,1605,0.0548,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
31315,33012,2020-07-01,1697,0.0514,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
36393,38137,2020-07-15,1744,0.0457,0,Colorado,CO,97067.89000000006,5514222.0,56.807889818146826,36469.42683972463,59610.5
24,24,2020-03-15,0,0.0,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
3472,3557,2020-04-01,85,0.0239,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
13887,14755,2020-04-15,868,0.0588,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
26425,28764,2020-05-01,2339,0.0813,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
32800,36085,2020-05-15,3285,0.091,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
38770,42740,2020-06-01,3970,0.0929,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
41031,45235,2020-06-15,4204,0.0929,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
42248,46572,2020-07-01,4324,0.0928,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
43256,47636,2020-07-15,4380,0.0919,0,Connecticut,CT,4829.569999999999,3569498.0,739.0923001426629,43172.2105231604,86324.0
7,7,2020-03-15,0,0.0,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
357,368,2020-04-01,11,0.0299,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
1968,2014,2020-04-15,46,0.0228,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
4759,4918,2020-05-01,159,0.0323,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
7102,7373,2020-05-15,271,0.0368,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
9237,9605,2020-06-01,368,0.0383,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
9917,10340,2020-06-15,423,0.0409,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
11001,11510,2020-07-01,509,0.0442,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
12529,13050,2020-07-15,521,0.0399,0,Delaware,DE,1945.37,943604.0,485.05117278461165,34155.26257201114,61657.0
111,115,2020-03-15,4,0.0348,0,Florida,FL,43794.01999999996,20568602.0,469.66690886107324,30222.61566148249,51245.5
6869,6956,2020-04-01,87,0.0125,0,Florida,FL,43794.01999999996,20568602.0,469.66690886107324,30222.61566148249,51245.5
